timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,position,geolocation
2015-02-26T10:25:00+00:00,0013a20040b516ed,1,505,19.7,19.7,19.7,2.5,2.5,2.5,57.4,57.4,57.4,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20150226102500,,"-37.813073, 144.9804061"
2015-02-26T10:35:00+00:00,0013a20040b516ed,1,505,20.0,20.0,20.0,2.5,2.5,2.5,58.2,58.2,58.2,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20150226103500,,"-37.813073, 144.9804061"
2015-02-26T09:35:00+00:00,0013a20040b5b318,1,502,17.7,17.7,17.7,2.8,2.8,2.8,56.7,56.7,56.7,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20150226093500,,"-37.8146097, 144.9790177"
2015-02-03T07:30:00+00:00,0013a20040b4b755,1,508,17.7,17.7,17.7,88.5,88.5,88.5,42.6,42.6,42.6,ENV,-37.8134078,144.9794923,30.1,Fitzroy Gardens,508-20150203073000,,"-37.8134078, 144.9794923"
2015-02-03T05:00:00+00:00,0013a20040b516f6,1,507,21.0,21.0,21.0,97.3,97.3,97.3,37.9,37.9,37.9,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20150203050000,,"-37.8149218, 144.9822582"
2015-02-03T07:35:00+00:00,0013a20040b31571,1,510,24.8,24.8,24.8,98.0,98.0,98.0,38.8,38.8,38.8,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150203073500,,"-37.8197121, 144.9413253"
2015-02-03T05:35:00+00:00,0013a20040b31571,1,510,24.5,24.5,24.5,97.9,97.9,97.9,40.4,40.4,40.4,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150203053500,,"-37.8197121, 144.9413253"
2015-02-03T12:25:00+00:00,0013a20040b31571,1,510,16.1,16.1,16.1,1.5,1.5,1.5,49.2,49.2,49.2,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150203122500,,"-37.8197121, 144.9413253"
2015-02-03T07:50:00+00:00,0013a20040b5b337,1,511,19.0,19.0,19.0,95.5,95.5,95.5,44.5,44.5,44.5,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150203075000,,"-37.8195002, 144.9418888"
2015-02-03T13:45:00+00:00,0013a20040b31571,1,510,16.1,16.1,16.1,1.4,1.4,1.4,47.7,47.7,47.7,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150203134500,,"-37.8197121, 144.9413253"
2015-02-03T09:40:00+00:00,0013a20040b5b337,1,511,17.1,17.1,17.1,18.1,18.1,18.1,50.0,50.0,50.0,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150203094000,,"-37.8195002, 144.9418888"
